iter	MultiClass
0	1.604399594
1	1.601726103
2	1.597260796
3	1.594252938
4	1.590044111
5	1.585668554
6	1.582540243
7	1.578597812
8	1.573965624
9	1.569277311
10	1.565150305
11	1.560302072
12	1.557027891
13	1.552915666
14	1.548288565
15	1.54288579
16	1.537631181
17	1.532424618
18	1.528445734
19	1.523170026
20	1.518390515
21	1.514687013
22	1.512539704
23	1.508605462
24	1.504921216
25	1.500268685
26	1.495101384
27	1.490047046
28	1.486554079
29	1.482769215
30	1.476817992
31	1.471871583
32	1.467411925
33	1.4633452
34	1.459648521
35	1.456420926
36	1.452147554
37	1.448921541
38	1.446290149
39	1.440799686
40	1.436542931
41	1.433806899
42	1.429885201
43	1.426443499
44	1.422286971
45	1.418352058
46	1.41289272
47	1.408753267
48	1.405698377
49	1.40249151
50	1.399692966
51	1.395860311
52	1.391493455
53	1.388463356
54	1.384625477
55	1.380999831
56	1.378131619
57	1.375046583
58	1.370957457
59	1.366893809
60	1.362922158
61	1.358636569
62	1.355295066
63	1.352291168
64	1.348828549
65	1.345968121
66	1.343216079
67	1.341742825
68	1.337754556
69	1.333970932
70	1.331228465
71	1.327168604
72	1.32389491
73	1.320234881
74	1.317711095
75	1.314834389
76	1.311805227
77	1.309696255
78	1.306318286
79	1.301659882
80	1.29816484
81	1.294452361
82	1.291567561
83	1.286072972
84	1.282628758
85	1.279269703
86	1.275694791
87	1.273405488
88	1.268911424
89	1.265049
90	1.260761602
91	1.257616849
92	1.254121478
93	1.251694726
94	1.247719813
95	1.244048399
96	1.240972018
97	1.236896924
98	1.23360585
99	1.230225677
100	1.227078815
101	1.224535939
102	1.22074538
103	1.217458755
104	1.215602695
105	1.212406049
106	1.208950739
107	1.20622286
108	1.203500823
109	1.200757901
110	1.196507115
111	1.193229683
112	1.189245171
113	1.185664178
114	1.182694642
115	1.180724531
116	1.177462296
117	1.175404891
118	1.172323138
119	1.168744063
120	1.167234365
121	1.163687758
122	1.161740544
123	1.159499358
124	1.155371031
125	1.150995164
126	1.147157409
127	1.144139734
128	1.14020139
129	1.137618417
130	1.134388616
131	1.131275791
132	1.128159415
133	1.12488792
134	1.121256435
135	1.118100519
136	1.115168012
137	1.112274008
138	1.108916258
139	1.104858814
140	1.102155515
141	1.099728151
142	1.097936855
143	1.09467336
144	1.091610536
145	1.08933108
146	1.087741881
147	1.084937538
148	1.081891424
149	1.078909581
150	1.075662772
151	1.071637439
152	1.068271224
153	1.065727786
154	1.061840809
155	1.05880577
156	1.055700826
157	1.052943114
158	1.049583668
159	1.046842924
160	1.044307663
161	1.040889079
162	1.037578542
163	1.034458986
164	1.032096644
165	1.028639606
166	1.026170419
167	1.023568743
168	1.020274506
169	1.016497429
170	1.014463817
171	1.012562454
172	1.010284901
173	1.007090535
174	1.00491993
175	1.00183897
176	0.9991282137
177	0.99617893
178	0.9940691318
179	0.9916975245
180	0.9890420199
181	0.9865506566
182	0.984209364
183	0.9821741673
184	0.9794714806
185	0.9763082942
186	0.9734459997
187	0.9707303977
188	0.9690706727
189	0.9661097169
190	0.9627425837
191	0.9597108499
192	0.956925303
193	0.954003658
194	0.9513311098
195	0.9485419128
196	0.9461122453
197	0.9450996135
198	0.9422767129
199	0.9393183983
200	0.9358454241
201	0.9329902288
202	0.9302435842
203	0.9283382652
204	0.9266509247
205	0.9243924865
206	0.9223995991
207	0.9208342038
208	0.9180467674
209	0.9165166725
210	0.9139902824
211	0.9119087405
212	0.9100524211
213	0.9075653825
214	0.9052980906
215	0.9035015901
216	0.9013203789
217	0.8987990059
218	0.8972214383
219	0.8943105055
220	0.8913275299
221	0.888767972
222	0.8871817831
223	0.8841660413
224	0.881996083
225	0.8792975913
226	0.8762622803
227	0.8744816872
228	0.8718751287
229	0.8695035182
230	0.8668928952
231	0.8641146266
232	0.8621787564
233	0.8600856783
234	0.8575499689
235	0.8548970543
236	0.8516562978
237	0.8495326846
238	0.8481357553
239	0.8447296068
240	0.8422950669
241	0.8403577198
242	0.8379224849
243	0.8362833897
244	0.8338448877
245	0.8313235926
246	0.8291107305
247	0.8267688052
248	0.8247693525
249	0.8228261853
250	0.8200443486
251	0.8174824936
252	0.81552787
253	0.8129582459
254	0.810538576
255	0.8079255874
256	0.8064259767
257	0.8034890573
258	0.8011748303
259	0.7989906652
260	0.7963975906
261	0.7940601776
262	0.7922823116
263	0.7895522072
264	0.7866722152
265	0.7846674284
266	0.7820619122
267	0.7797760206
268	0.7774045798
269	0.7754888129
270	0.7724252449
271	0.770230563
272	0.7678503528
273	0.7654973354
274	0.7628235133
275	0.7611299766
276	0.7587575705
277	0.7565479237
278	0.7542078704
279	0.7525258037
280	0.7495205534
281	0.7472407569
282	0.7455179883
283	0.7430244181
284	0.7413108694
285	0.7397089193
286	0.7374068234
287	0.7359743776
288	0.7333384727
289	0.7309473008
290	0.7293645985
291	0.7280788881
292	0.7261879317
293	0.7235684559
294	0.721210656
295	0.7191781795
296	0.7175445266
297	0.7150157217
298	0.7135669116
299	0.7126273651
300	0.7103656069
301	0.7075493086
302	0.7049869088
303	0.703345987
304	0.7015719724
305	0.6997245386
306	0.6982927575
307	0.696074907
308	0.6937226566
309	0.6919613136
310	0.689381516
311	0.6873136878
312	0.6853424613
313	0.6824966741
314	0.6799509843
315	0.6778015992
316	0.6758375096
317	0.6740220835
318	0.6719664426
319	0.6697837515
320	0.6678326496
321	0.6656083143
322	0.6638603252
323	0.6615377655
324	0.6597626808
325	0.6581027324
326	0.6564575344
327	0.6550875315
328	0.6535705109
329	0.6520584778
330	0.6503122289
331	0.6479891207
332	0.6463917635
333	0.6442508089
334	0.6419020754
335	0.6399336843
336	0.6377235868
337	0.6355317549
338	0.6334902182
339	0.6310853011
340	0.6292016394
341	0.627090525
342	0.6248123628
343	0.6227583706
344	0.6205860803
345	0.6189195973
346	0.6169822794
347	0.6157920317
348	0.6143765922
349	0.6131087101
350	0.6114310945
351	0.6094274887
352	0.6078624903
353	0.6055968901
354	0.6039151623
355	0.6022563212
356	0.6000804459
357	0.598657017
358	0.5970398793
359	0.5950866648
360	0.5928118532
361	0.5911134734
362	0.5894110486
363	0.5875980251
364	0.5859960996
365	0.5849814244
366	0.5836519651
367	0.5819070169
368	0.580136938
369	0.5790768376
370	0.577167404
371	0.5754572251
372	0.5738734326
373	0.573106712
374	0.5713481523
375	0.5698998142
376	0.5682142038
377	0.5663769843
378	0.5655607342
