iter	Passed	Remaining
0	309	247684
1	579	231058
2	866	230082
3	1140	226868
4	1410	224224
5	1687	223257
6	1964	222601
7	2231	220939
8	2505	220209
9	2779	219574
10	3062	219637
11	3343	219528
12	3624	219451
13	3907	219382
14	4185	219066
15	4457	218403
16	4745	218552
17	5017	217995
18	5298	217807
19	5572	217334
20	5845	216828
21	6126	216659
22	6395	216047
23	6678	215925
24	6945	215320
25	7222	215002
26	7495	214581
27	7773	214314
28	8079	214802
29	8376	214985
30	8681	215346
31	8997	215929
32	9310	216402
33	9586	215967
34	9879	215927
35	10163	215691
36	10454	215588
37	10741	215397
38	11034	215319
39	11329	215261
40	11617	215061
41	11901	214793
42	12203	214838
43	12527	215239
44	12829	215255
45	13142	215418
46	13428	215140
47	13735	215188
48	14014	214795
49	14373	215606
50	14739	216462
51	15083	216975
52	15431	217494
53	15729	217300
54	16024	217058
55	16326	216903
56	16619	216639
57	16933	216629
58	17232	216422
59	17530	216208
60	17832	216034
61	18122	215716
62	18435	215669
63	18738	215493
64	19049	215406
65	19342	215116
66	19636	214829
67	19920	214441
68	20200	214012
69	20524	214037
70	20846	214040
71	21132	213676
72	21412	213248
73	21714	213039
74	22017	212832
75	22314	212578
76	22607	212274
77	22902	211996
78	23209	211819
79	23564	212078
80	23872	211904
81	24170	211641
82	24465	211345
83	24756	211017
84	25043	210661
85	25330	210303
86	25619	209960
87	25924	209753
88	26271	209873
89	26568	209598
90	26869	209343
91	27177	209150
92	27469	208826
93	27762	208512
94	28065	208278
95	28355	207940
96	28703	208028
97	28998	207725
98	29279	207324
99	29568	206982
100	29851	206594
101	30140	206252
102	30424	205880
103	30715	205559
104	31001	205198
105	31282	204812
106	31557	204387
107	31840	204016
108	32160	203878
109	32449	203545
110	32733	203181
111	33025	202872
112	33318	202564
113	33599	202184
114	33896	201907
115	34215	201753
116	34513	201474
117	34809	201185
118	35111	200930
119	35407	200641
120	35696	200314
121	35979	199954
122	36264	199600
123	36559	199307
124	36829	198878
125	37113	198529
126	37458	198500
127	37743	198155
128	38031	197823
129	38324	197517
130	38631	197285
131	38925	196987
132	39220	196691
133	39507	196359
134	39797	196039
135	40087	195720
136	40379	195415
137	40719	195334
138	41001	194979
139	41305	194723
140	41594	194400
141	41894	194129
142	42181	193797
143	42478	193512
144	42788	193286
145	43079	192974
146	43377	192688
147	43666	192369
148	43966	192094
149	44269	191834
150	44568	191553
151	44861	191251
152	45152	190938
153	45445	190633
154	45727	190286
155	46025	190002
156	46304	189641
157	46611	189397
158	46904	189091
159	47180	188722
160	47460	188368
161	47746	188038
162	48023	187675
163	48295	187290
164	48573	186933
165	48848	186564
166	49127	186211
167	49412	185885
168	49690	185529
169	49964	185162
170	50248	184833
171	50530	184496
172	50810	184151
173	51083	183783
174	51363	183439
175	51647	183112
176	51924	182763
177	52214	182458
178	52503	182148
179	52795	181851
180	53079	181526
181	53383	181269
182	53678	180980
183	53969	180679
184	54254	180357
185	54545	180058
186	54829	179736
187	55115	179417
188	55387	179056
189	55678	178756
190	55962	178436
191	56254	178138
192	56561	177891
193	56877	177669
194	57189	177435
195	57487	177155
196	57773	176838
197	58075	176571
198	58361	176257
199	58640	175921
200	58923	175597
201	59218	175311
202	59495	174969
203	59774	174635
204	60056	174309
205	60358	174043
206	60665	173789
207	60959	173501
208	61246	173190
209	61563	172963
210	61859	172678
211	62153	172388
212	62451	172106
213	62737	171796
214	63023	171481
215	63299	171142
216	63600	170872
217	63881	170546
218	64166	170230
219	64443	169896
220	64738	169608
221	65056	169381
222	65337	169057
223	65635	168777
224	65931	168491
225	66218	168182
226	66503	167869
227	66883	167795
228	67239	167658
229	67601	167534
230	67892	167232
231	68220	167021
232	68545	166802
233	68854	166545
234	69262	166524
235	69634	166415
236	69961	166194
237	70304	166012
238	70587	165688
239	70924	165489
240	71224	165205
241	71523	164918
242	71838	164667
243	72123	164345
244	72471	164170
245	72756	163850
246	73033	163512
247	73308	163171
248	73587	162837
249	73856	162484
250	74149	162183
251	74440	161877
252	74724	161558
253	75011	161245
254	75307	160951
255	75635	160726
256	75923	160414
257	76209	160098
258	76487	159767
259	76767	159439
260	77042	159103
261	77318	158768
262	77594	158433
263	77882	158124
264	78162	157800
265	78442	157474
266	78717	157140
267	78998	156817
268	79287	156512
269	79619	156290
270	79943	156051
271	80217	155716
272	80499	155396
273	80782	155078
274	81056	154744
275	81332	154414
276	81610	154087
277	81882	153751
278	82164	153432
279	82440	153103
280	82728	152796
281	82998	152457
282	83286	152151
283	83560	151820
284	83841	151503
285	84124	151188
286	84408	150876
287	84693	150567
288	84974	150249
289	85263	149946
290	85551	149641
291	85827	149316
292	86111	149004
293	86398	148699
294	86679	148383
295	86961	148070
296	87235	147743
297	87521	147435
298	87865	147225
299	88168	146947
300	88463	146656
301	88750	146350
302	89047	146061
303	89338	145762
304	89618	145445
305	89896	145127
306	90170	144801
307	90460	144501
308	90732	144174
309	91024	143877
310	91327	143598
311	91612	143291
312	91894	142978
313	92185	142681
314	92465	142368
315	92759	142075
316	93055	141784
317	93357	141504
318	93677	141251
319	93982	140974
320	94287	140696
321	94569	140385
322	94854	140079
323	95122	139748
324	95397	139427
325	95688	139130
326	95959	138803
327	96237	138487
328	96517	138175
329	96792	137856
330	97061	137527
331	97375	137264
332	97690	137001
333	97975	136696
334	98251	136378
335	98537	136076
336	98827	135777
337	99114	135476
338	99394	135165
339	99675	134855
340	99946	134532
341	100230	134227
342	100512	133919
343	100818	133642
344	101134	133380
345	101550	133247
346	101860	132976
347	102188	132727
348	102488	132442
349	102829	132209
350	103117	131908
351	103428	131635
352	103786	131424
353	104125	131186
354	104441	130920
355	104733	130622
356	105057	130365
357	105337	130053
358	105606	129728
359	105891	129423
360	106165	129103
361	106439	128785
362	106719	128474
363	107015	128183
364	107352	127940
365	107654	127655
366	107932	127342
367	108282	127114
368	108567	126808
369	108861	126514
370	109135	126197
371	109413	125884
372	109696	125576
373	109969	125258
374	110266	124968
375	110594	124713
376	110906	124438
